mech,log10_ne,f_rx_MHz,aperture,eta_th0_r10,Pslw1_dBm_r10,eta_th0_r100,Pslw1_dBm_r100,eta_th0_r1000,Pslw1_dBm_r1000,J_Am2,Isrc_A,Fspec,fp_GHz,Ash_dB,Nhiv_dBm,Nconv_dBm,SNR_tem_dB_r100,SNR_th_dB_r100,etakap_sw_r100
diff,16,1296.0,recip,905.1071633993591,-161.134000041947,9051.07163399359,-181.134000041947,90510.71633993591,-201.134000041947,128.72877767454796,0.12872877767454796,2.2876328865588155e-08,0.8978662820487434,0.05454828936447669,-101.9999999999925,-101.9999976267886,-93.63505783834862,-123.39312106154134,12800.148258804145
diff,18,1.0,hub,0.024029381553445233,-69.60886654699495,0.2402938155344523,-89.60886654699495,2.4029381553445233,-109.60886654699495,12872.877767454795,12.872877767454796,0.003524206385959363,8.978662820487434,13.97719951398434,-101.99401467763553,-75.5940278251747,-70.83341075051622,-178.54557277466535,0.3398267728832012
diff,18,1.0,recip,1.780560625682905e-05,-7.0051499856792585,0.00017805606256829048,-27.005149985679257,0.0017805606256829048,-47.00514998567926,12872.877767454795,12.872877767454796,0.003524206385959363,8.978662820487434,13.97719951398434,-101.99401467763553,-75.5940278251747,-70.83341075051622,-178.54557277466535,0.0002518092985468288
diff,18,30.0,hub,0.4086746733225001,-94.22755412565598,4.0867467332250005,-114.22755412565598,40.86746733225001,-134.22755412565598,12872.877767454795,12.872877767454796,1.2167254044603446e-05,8.978662820487434,72.92101438984515,-101.99999964287517,-101.88851057856635,-123.38718096906177,-147.53684053868898,5.779532656110737
diff,18,30.0,recip,0.009084753559887655,-61.166262658733544,0.09084753559887654,-81.16626265873356,0.9084753559887654,-101.16626265873356,12872.877767454795,12.872877767454796,1.2167254044603446e-05,8.978662820487434,72.92101438984515,-101.99999964287517,-101.88851057856635,-123.38718096906177,-147.53684053868898,0.12847781695210375
diff,18,433.92,hub,3.7869076759206592,-113.56569434451077,37.869076759206585,-133.56569434451077,378.69076759206587,-153.56569434451077,12872.877767454795,12.872877767454796,1.4170283987539347e-07,8.978662820487434,81.5767752564257,-101.99999999982843,-101.99994575090668,-151.09231085593504,-147.24806934012693,53.55496194741773
diff,18,433.92,recip,1.2176109835208369,-103.71017114021411,12.176109835208365,-123.71017114021411,121.76109835208365,-143.7101711402141,12872.877767454795,12.872877767454796,1.4170283987539347e-07,8.978662820487434,81.5767752564257,-101.99999999982843,-101.99994575090668,-151.09231085593504,-147.24806934012693,17.2196196658961
diff,18,1296.0,hub,9.424988492617336,-121.48561657257119,94.24988492617335,-141.4856165725712,942.4988492617335,-161.4856165725712,12872.877767454795,12.872877767454796,2.2876328865588155e-08,8.978662820487434,80.86326093474645,-101.9999999999925,-101.9999976267886,-158.2572781601423,-147.20662873795303,133.28946551469787
diff,18,1296.0,recip,9.05107163399359,-121.134000041947,90.5107163399359,-141.134000041947,905.1071633993589,-161.134000041947,12872.877767454795,12.872877767454796,2.2876328865588155e-08,8.978662820487434,80.86326093474645,-101.9999999999925,-101.9999976267886,-158.2572781601423,-147.20662873795303,128.00148258804143
diff,20,1.0,hub,0.00024029381553445237,-29.60886654699495,0.002402938155344523,-49.608866546994946,0.024029381553445233,-69.60886654699495,1287287.7767454793,1287.2877767454793,0.003524206385959363,89.78662820487433,139.77201062339725,-101.99401467763553,-75.5940278251747,-166.6256808888789,-188.54303180361507,0.003398267728832012
diff,20,1.0,recip,1.780560625682905e-07,32.99485001432074,1.7805606256829048e-06,12.994850014320743,1.780560625682905e-05,-7.0051499856792585,1287287.7767454793,1287.2877767454793,0.003524206385959363,89.78662820487433,139.77201062339725,-101.99401467763553,-75.5940278251747,-166.6256808888789,-188.54303180361507,2.518092985468288e-06
diff,20,30.0,hub,0.004086746733225002,-54.22755412565599,0.04086746733225002,-74.22755412565598,0.40867467332250024,-94.22755412565598,1287287.7767454793,1287.2877767454793,1.2167254044603446e-05,89.78662820487433,729.2148443246197,-101.99999964287517,-101.88851057856635,-749.6735042715923,-157.52933390644506,0.057795326561107384
